StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,automation_step,NextStepId,label_EventName,label_EventId,rows,ApplicationProcessNameStepName,Process_Name,Connectors
0,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:16+00:00,Press button in window,Button 'Type here to search' in TaskBar,,,"[""UIAutomationPressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]",2,Go to the Mailbox,b8235c73-be1f-4eab-a7a1-ab5caac7e077,3617,Press button in window,Outlook/powerbi,Outlook
1,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:18+00:00,Populate text field in window,Edit 'Search box' in Window 'Search'; Text:'mail',SearchApp,Search,"[""UIAutomationPopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'mail' Mode: UIAutomationPopulateTextModeReplace ClickType: UIAutomationPopulateMouseClickTypeSingleClick\n""]",3,Go to the Mailbox,b8235c73-be1f-4eab-a7a1-ab5caac7e077,3618,SearchAppPopulate text field in window,Outlook/powerbi,Outlook
2,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:20+00:00,Click UI element in window,"List Item 'Mail, App, Press right to switch preview' in Window 'Search'",SearchApp,Search,"[""UIAutomationClick Element: appmask['Window \\'Search\\'']['List Item \\'Mail, App, Press right to switch preview\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -72 OffsetY: 17 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopRight\n""]",4,Go to the Mailbox,b8235c73-be1f-4eab-a7a1-ab5caac7e077,3619,SearchAppClick UI element in window,Outlook/powerbi,Outlook
3,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:23+00:00,Click UI element in window,"List Item ' Unread    Thanks, Name Surname' in Window 'Inbox - Outlook â€?- Mail'",ApplicationFrameHost,Inbox - Outlook â€?- Mail,"[""UIAutomationClick Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\' Unread    Thanks, Name Surname\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -32 OffsetY: 13 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",5,Go to the Mailbox,b8235c73-be1f-4eab-a7a1-ab5caac7e077,3620,ApplicationFrameHostClick UI element in window,Outlook/powerbi,Outlook
4,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:27+00:00,Click UI element in window,List Item 'Open Raw    1489 KB attachment' in Window 'Inbox - Outlook â€?- Mail',ApplicationFrameHost,Inbox - Outlook â€?- Mail,"[""UIAutomationClick Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\'Open Raw    1489 KB attachment\\''] ClickType: UIAutomationClickTypeRightClick OffsetX: -45 OffsetY: 3 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",6,Go to the Mailbox,0362dd30-68d3-42f0-8c9a-dc3304fcd093,3621,ApplicationFrameHostClick UI element in window,Outlook/powerbi,Outlook
5,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:30+00:00,Press button in window,Button 'Save' in Window 'Inbox - Outlook â€?- Mail',ApplicationFrameHost,Inbox - Outlook â€?- Mail,"[""UIAutomationPressButton Button: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Button \\'Save\\'']\n""]",7,Save/Download the file,0362dd30-68d3-42f0-8c9a-dc3304fcd093,3622,ApplicationFrameHostPress button in window,Outlook/powerbi,Outlook
6,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:37+00:00,Click UI element in window,Tree Item 'Desktop' in Window 'Inbox - Outlook â€?- Mail',ApplicationFrameHost,Inbox - Outlook â€?- Mail,"[""UIAutomationClick Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Tree Item \\'Desktop\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -4 OffsetY: -4 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",8,Save/Download the file,0362dd30-68d3-42f0-8c9a-dc3304fcd093,3623,ApplicationFrameHostClick UI element in window,Outlook/powerbi,Outlook
7,4bc34156-bb8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:43:40+00:00,Press button in window,Button 'Save' 2 in Window 'Inbox - Outlook â€?- Mail',ApplicationFrameHost,Inbox - Outlook â€?- Mail,"[""UIAutomationPressButton Button: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Button \\'Save\\' 2']\n""]",9,Save/Download the file,0362dd30-68d3-42f0-8c9a-dc3304fcd093,3624,ApplicationFrameHostPress button in window,Outlook/powerbi,Outlook
0,82e0911f-bd8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:53:48+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",2,Go to the Mailbox,fce57168-3ede-4296-9759-ea8169e3ee6e,3705,Select menu option in window,Outlook/powerbi,Outlook
1,82e0911f-bd8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:53:52+00:00,Press button in window,Button 'New Tab' in Pane 'Inbox -    Chrome - Name',chrome,Inbox - Email@Domain - Gmail - Google Chrome - Name,"[""UIAutomationPressButton Button: appmask['Pane \\'Inbox -    Chrome - Name\\'']['Button \\'New Tab\\'']\n""]",3,Go to the Mailbox,fce57168-3ede-4296-9759-ea8169e3ee6e,3706,chromePress button in window,Outlook/powerbi,Outlook
2,82e0911f-bd8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:53:55+00:00,Click UI element in window,Hyperlink 'Gmail' in Pane 'Inbox -    Chrome - Name',chrome,Inbox - Email@Domain - Gmail - Google Chrome - Name,"[""UIAutomationClick Element: appmask['Pane \\'Inbox -    Chrome - Name\\'']['Hyperlink \\'Gmail\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -10 OffsetY: 2 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleRight\n""]",4,Go to the Mailbox,fce57168-3ede-4296-9759-ea8169e3ee6e,3707,chromeClick UI element in window,Outlook/powerbi,Outlook
3,82e0911f-bd8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:53:59+00:00,Click UI element in window,Text 'Project Raw data' in Pane 'Inbox -    Chrome - Name',chrome,Inbox - Email@Domain - Gmail - Google Chrome - Name,"[""UIAutomationClick Element: appmask['Pane \\'Inbox -    Chrome - Name\\'']['Text \\'Project Raw data\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: 10 OffsetY: -1 MousePositionRelativeToElement: UIAutomationRectangleEdgePointMiddleCenter\n""]",5,Go to the Mailbox,fce57168-3ede-4296-9759-ea8169e3ee6e,3708,chromeClick UI element in window,Outlook/powerbi,Outlook
4,82e0911f-bd8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:54:06+00:00,Click UI element in window,Hyperlink 'Preview attachment Raw Data of project ABCxlsx' in Pane 'Inbox -    Chrome - Name',chrome,Inbox - Email@Domain - Gmail - Google Chrome - Name,"[""UIAutomationClick Element: appmask['Pane \\'Inbox -    Chrome - Name\\'']['Hyperlink \\'Preview attachment Raw Data of project ABCxlsx\\''] ClickType: UIAutomationClickTypeLeftClick OffsetX: -36 OffsetY: 9 MousePositionRelativeToElement: UIAutomationRectangleEdgePointTopRight\n""]",6,Save/Download the file,9f412d35-5b2a-4bf3-84af-5713727c07de,3709,chromeClick UI element in window,Outlook/powerbi,Outlook
5,82e0911f-bd8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:54:10+00:00,Press button in window,Button 'Download' in Pane 'Inbox -    Chrome - Name',chrome,Inbox - Email@Domain - Gmail - Google Chrome - Name,"[""UIAutomationPressButton Button: appmask['Pane \\'Inbox -    Chrome - Name\\'']['Button \\'Download\\'']\n""]",7,Save/Download the file,9f412d35-5b2a-4bf3-84af-5713727c07de,3710,chromePress button in window,Outlook/powerbi,Outlook
0,eb935e71-bc8f-ec11-b400-0022482f8e02,7a1f3fb7-5485-ec11-8d21-000d3a5712fa,2022-02-17T06:46:35+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomationSelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",2,Go to the Mailbox,fc523888-f4a9-4120-9082-de11e04d4db7,3662,Select menu option in window,Outlook/powerbi,Outlook
